Title of debate,Date,Members,Classification,Year
Waste Treatment Plant,02/12/21,Gopal Jee Thakur,,2021
Incidents of Oil Spills,02/12/21,Maneka Sanjay Gandhi,,2021
National Clean Air Programme,02/12/21,M.K. Vishnu Prasad,,2021
Conservation of Forests,02/12/21,Ashok Mahadeorao Nete,,2021
Improvement in Air Quality,02/12/21,Gaurav GogoiRahul Ramesh Shewale,,2021
Compensatory Afforestation,02/12/21,Sri Krishna Devarayalu LavuBharat Ram Margani,,2021
Emission of Green House Gases from Crops,02/12/21,Sunita Duggal,,2021
Decrease in Area of Dense Forest,02/12/21,Narayana Swamy Abbaiah,,2021
Air Quality in Cities,02/12/21,Rodmal NagarT. Sumathy (A) Thamizhachi ThangapandianGopal Chinayya ShettyNama Nageswara RaoS.R. Parthiban,,2021
Burning of Waste/Garbage,02/12/21,Kotagiri Sridhar,,2021
Management of stubble burning,02/12/21,Parvesh Sahib Singh,,2021
Deaths due to Pollution,02/12/21,Ashok Kumar Rawat,,2021
Death of Forest Guards,02/12/21,Rajeshbhai Naranbhai Chudasama,,2021
Import of GM Seeds,02/12/21,Ajay Kumar Mandal,,2021
Conservation of Lakes in Rajasthan,02/12/21,Arjunlal Meena,,2021
Conservation of the Environment,02/12/21,Thalikkottai Rajuthevar Baalu,,2021
Air Pollution in Urban and Industrial Areas,02/12/21,Hemant Shriram PatilOmprakash Bhupalsingh alias Pavan RajenimbalkarRahul Ramesh Shewale,,2021
Control of Air and Dust pollution,02/12/21,Bidyut Baran MahatoChandrashekhar SahuSanjay Sadashivrao MandlikShrirang Appa BarneSudheer Gupta,,2021
Forest Area,02/12/21,Alok Kumar Suman,,2021
Projects in Protected Areas,02/12/21,Jyotsna Charandas Mahant,,2021
Death of Forest Guards,02/12/21,Nitesh Ganga DebAsaduddin OwaisiSyed Imtiaz Jaleel,,2021
National Wetlands Conservation Programme,02/12/21,Nisith PramanikGanesh SinghJayanta Kumar RoySangeeta Kumari Singh Deo,,2021
Decrease in Forest Cover,02/12/21,Vijay Kumar,,2021
Plantation of Native Species of Trees,02/12/21,Rajkumar Chahar,,2021
Plantation in Cities,02/12/21,Ajay Nishad,,2021
Sand Mining in Reserve Forest Areas,02/12/21,Uttam Kumar Nalamada Reddy,,2021
Adverse Effects of Climate Change,02/12/21,Thomas Chazhikadan,,2021
Killing of Animals,02/12/21,Suresh Kodikunnil,,2021
Management of E-waste,02/12/21,Sarmistha Kumari SethiRitesh Pandey,,2021
Financial Assistance for Tree Plantation,02/12/21,Mahabali Singh,,2021
Threat to Bird Sanctuary,02/12/21,Vinod Kumar SonkarBhola SinghRaja Amareshwara NaikSukanta Majumdar,,2021
Disposal of Biomedical Waste,02/12/21,Dileshwar KamaitGeeta KoraJugal Kishore Sharma,,2021
ESA Notification on Western Ghats,02/12/21,Dean Kuriakose,,2021
Central Vista Redevelopment Project,02/12/21,Muniyan Selvaraj,,2021
Erosion of Coastal Stretches in Tamil Nadu,02/12/21,P. Ravindhranath,,2021
Attacks by Wild Animals,02/12/21,Raju Bista,,2021
Pollution by Industrial Units,02/12/21,Krupal Balaji Tumane,,2021
Management of Solid Waste,02/12/21,Pramod MahajanRajeshbhai Naranbhai Chudasama,,2021
Management of Air Quality,02/12/21,Subrat PathakRam Shankar KatheriaManoj Kumar TiwariNayab SinghRavindra KushawahaRavi Kishan Shukla,,2021
Persons affected by Wild Animals,02/12/21,Manicka Tagore,,2021
Environmental Clearance for projects,02/12/21,Krupal Balaji TumaneArun Sao,,2021
Pollution in Coastal Areas,02/12/21,Poonamben Hematbhai Maadam,,2021
High Risk Flood Areas,02/05/21,Sisir Kumar Adhikari,,2021
CSR Funds for Conservation of Environment,02/05/21,Gomati Sai,,2021
Environmental Clearance for Power Plants,02/05/21,Muniyan Selvaraj,,2021
India Cooling Action Plan,02/05/21,Mahua Moitra,,2021
Migratory Birds,02/05/21,Rahul Kaswan,,2021
CAMPA Funds,02/05/21,Santosh Pandey,,2021
Tiger Reserve Projects,02/05/21,Harish Dwivedi,,2021
Human-Wildlife Conflicts,02/05/21,Pocha Brahmananda ReddyMagunta Sreenivasulu Reddy,,2021
Deaths of Wild Animals,02/05/21,Saugata Roy,,2021
Death of Animals in Zoos,02/05/21,Chandra Prakash JoshiManoj Kumar TiwariRamdas Chandrabhanji Tadas,,2021
Skill Development Programme in Forest Sector,02/05/21,Gitaben Vajesingbhai Rathva,,2021
Scientific and Technical posts in CZA,02/05/21,Raksha Nikhil Khadse,,2021
Crop Damage by Wild Animals,02/05/21,Dhal Singh Bisen,,2021
Unabated felling of Trees,02/05/21,Malook Nagar,,2021
Deaths of Animals on Railway Tracks,02/05/21,Mahesh Sahoo,,2021
Pollution from Diesel Vehicles,02/05/21,Ashok Mahadeorao Nete,,2021
Pollution in Cities,02/05/21,Prataprao Patil Chikhalikar,,2021
Geographical Mapping of Forest Areas,02/05/21,Annpurna Devi,,2021
Schemes to Increase Forest Resources,02/05/21,Sunita Duggal,,2021
Commission for Air Quality Management,02/05/21,Nisith PramanikBhola SinghJayanta Kumar RoyRaja Amareshwara NaikSangeeta Kumari Singh DeoSukanta MajumdarVinod Kumar Sonkar,,2021
Displacement of People due to climate change,02/05/21,Khagen Murmu,,2021
Illegal Mining near Wildlife Sanctuaries,02/05/21,Sangamlal Kadedin GuptaChandra Prakash JoshiManoj Kumar TiwariRamdas Chandrabhanji Tadas,,2021
Indian Grey Wolf Sancturary,02/05/21,S. Muniswamy,,2021
Pollution by Cement Plants,02/05/21,Ganesh Singh,,2021
Environmental Clearance for Bauxite Mining,02/05/21,Saptagiri Sankar Ulaka,,2021
Ecologically Sensitive Areas/Zones,02/05/21,V.K. Sreekandan,,2021
Sustainable Development,02/05/21,Pritam Gopinath Munde,,2021
Expansion of Kattupalli Port,02/05/21,T. Sumathy (A) Thamizhachi ThangapandianVeeraswamy Kalanidhi,,2021
Environmental Clearance for Steel Plant,02/05/21,Y. S. Avinash Reddy,,2021
Environmental Clearance to Mining Projects,02/05/21,Ranjeeta Koli,,2021
National Mission for a Green India,02/05/21,Sanjay Jaiswal,,2021
Environment Impact Assessment,02/05/21,Girish Bhalchandra Bapat,,2021
Environmental Clearance for Central Vista Redevelopment Plan,02/05/21,Adoor Prakash,,2021
Forest Coverage,02/05/21,Rajkumar Chahar,,2021
E-waste,02/05/21,Feroze Varun Gandhi,,2021
Increase in Carbon Stock,02/05/21,Anubhav Mohanty,,2021
Setting up of Projects in Islands/Deep Sea Areas,02/05/21,Kalyan Banerjee,,2021
Disposal of e-waste,02/05/21,Ajay Kumar Mandal,,2021
Utilization of Forest Land,02/05/21,Mukesh Rajput,,2021
Census of Wild Animals,02/05/21,P. Ravindhranath,,2021
Environment Relief Fund,02/05/21,Gaurav Gogoi,,2021
Forest Area Coverage in Bihar,02/05/21,Mahabali Singh,,2021
Deaths of Tigers,02/05/21,Vishnu Dayal Ram,,2021
Database of Forestry Sector,02/05/21,Pramod MahajanRajeshbhai Naranbhai Chudasama,,2021
Compensatory Afforestation,02/05/21,Adala Prabhakara ReddyVenkata Satyavathi BeesettiChinta AnuradhaKotagiri SridharKrishnapal Singh YadavKuruva Gorantla MadhavPocha Brahmananda ReddyT.R.V.S. Ramesh,,2021
Nagar Vana-Udyan Scheme,02/05/21,Sellaperumal RamalingamBalashowry VallabbhaneniGautam Gambhir,,2021
Tiger Reserve,02/05/21,Diya Kumari,,2021
Pollution from Construction Activities,02/05/21,Nayab SinghRam Shankar KatheriaRavindra KushawahaRavi Kishan ShuklaSubrat Pathak,,2021
Adoption of New Emission Norms by Coalfields,02/05/21,Geetha Viswanath VangaKotha Prabhakar Reddy,,2021
Green Cover,02/05/21,Gowdar Mallikarjunappa Siddeshwara,,2021
Impact of Central Vista Redevelopment Project on Air Pollution,02/05/21,T.N. PrathapanBalubhau Narayanrao (Alias Suresh) DhanorkarKumbakudi SudhakaranMohammad Jawed,,2021
Conservation of Dolphins,02/05/21,Maneka Sanjay Gandhi,,2021
Trans-Border Ecology Conservation Area,02/05/21,Rajiv Pratap Rudy,,2021
Pollution due to Stubble Burning,02/05/21,P.C. Gaddigoudar,,2021
Incidence of Forest Fire,9/23/2020,Gajendra Singh PatelJohn BarlaManoj Kumar TiwariNayab SinghRavindra KushawahaRavi Kishan Shukla,,2020
Eco-sensitive Zones of Western Ghats,9/23/2020,Adoor Prakash,,2020
Tikarpada Wildlife Sanctuary,9/23/2020,Mahesh Sahoo,,2020
E-waste,9/23/2020,Omprakash Bhupalsingh alias Pavan Rajenimbalkar,,2020
Measures to Curb Noise Pollution,9/23/2020,Sukanta MajumdarBhola SinghJayanta Kumar RoyRaja Amareshwara NaikSangeeta Kumari Singh DeoVinod Kumar Sonkar,,2020
National Forest Policy 2018,9/23/2020,Sudheer GuptaBidyut Baran MahatoSanjay Sadashivrao MandlikShrirang Appa Barne,,2020
Emission Standard,9/23/2020,Dushyant Singh,,2020
Compensatory Afforestation Act,9/23/2020,Nalin Kumar Kateel,,2020
Reclamation of Land for Compensatory Afforestation,9/23/2020,Ravneet Singh,,2020
Biological Diversity Act,9/23/2020,Uday Pratap Singh,,2020
Compensatory Afforestation in Telangana,9/23/2020,Gaddam Ranjith Reddy,,2020
Compensatory Afforestation,9/23/2020,Komati Reddy Venkat Reddy,,2020
Encroachment of Lakes in Telangana,9/23/2020,Komati Reddy Venkat Reddy,,2020
Endangered animals,9/23/2020,Aparajita Sarangi,,2020
Hunting of Wild Animals,9/23/2020,Prataprao Patil Chikhalikar,,2020
Penalty on Polluters,9/23/2020,Geetha Viswanath VangaKotha Prabhakar Reddy,,2020
Dip in Pollution,9/23/2020,Rahul Ramesh Shewale,,2020
Conservation of River Dolphins,9/23/2020,Chandrashekhar Sahu,,2020
"Zero Defect, Zero Effect Scheme",9/23/2020,Kirit Premjibhai Solanki,,2020
Non-release of funds for Telangana,9/23/2020,Gaddam Ranjith Reddy,,2020
Integrated Regional Offices,9/23/2020,Sushil Kumar Singh,,2020
Generation of Information Technology Waste,9/23/2020,Shrirang Appa BarneBidyut Baran MahatoSanjay Sadashivrao MandlikSudheer Gupta,,2020
Lemaru Elephant Reserve,9/23/2020,Gomati Sai,,2020
Utilisation of CAMPA Funds,9/23/2020,C.N. AnnaduraiPrathap Simha,,2020
Environment Management Capacity,9/23/2020,Pramod Mahajan,,2020
Man-Animal Conflict,9/23/2020,Thomas Chazhikadan,,2020
Expansion of National Parks,9/23/2020,Saugata Roy,,2020
Skilled forest workers,9/23/2020,Reddeppa Nallakonda Gari,,2020
Environmental Clearance for LG Polymers,9/23/2020,Jayadev Galla,,2020
PPP Model in Afforestation Programmes,9/23/2020,Achyutananda Samanta,,2020
Blue Flag Certification,9/23/2020,Pinaki Misra,,2020
Baghjan Oil Reserve,9/23/2020,Pradyut Bordoloi,,2020
TDS in Water,9/23/2020,Sharda Anilkumar Patel,,2020
Use of Diesel Cars,9/23/2020,K. Shanmuga Sundaram,,2020
"Draft Environment Impact Assessment, 2020",9/23/2020,Hibi Eden,,2020
Global Rise in Temperatures,9/23/2020,Nama Nageswara Rao,,2020
Climate Change Act,9/23/2020,S. Venkatesan,,2020
Uranium Exploration in Amrabad Tiger Reserve,9/23/2020,Anumula Revanth Reddy,,2020
Single Use Plastic,9/23/2020,Kotagiri SridharMeenakshi Lekhi,,2020
Reduction in Forest Cover,9/23/2020,Sarmistha Kumari Sethi,,2020
Conservation of Dolphins,9/18/2020,P.C. GaddigoudarRajan Baburao VichareSu Thirunavukkarasar,,2020
Kusheswarasthan Bird Sanctuary,9/18/2020,Gopal Jee Thakur,,2020
Environment Impact Assessment Notification,9/18/2020,Saugata Roy,,2020
Conservation of Forests,9/18/2020,Malook Nagar,,2020
Snake Charmers,9/18/2020,Hibi Eden,,2020
Garbage Burning,9/18/2020,Kotagiri Sridhar,,2020
Climate Change,9/18/2020,Thalikkottai Rajuthevar Baalu,,2020
Ecologically Sensitive Areas,9/18/2020,Dean Kuriakose,,2020
Bio-Medical Waste Disposal,9/18/2020,Su Thirunavukkarasar,,2020
Climate Change Fund,9/18/2020,Rajeshbhai Naranbhai Chudasama,,2020
Monitoring of EIA,9/18/2020,Vinod Kumar SonkarBhola SinghJayanta Kumar RoyRaja Amareshwara NaikSangeeta Kumari Singh DeoSukanta Majumdar,,2020
Tiger project in Sohagibarwa,9/18/2020,Pankaj Chowdhary,,2020
World Environment Day,9/18/2020,Kuldeep Rai SharmaAmol Ramsing KolheDNV Senthilkumar S.Manicka TagoreSubhash Ramrao BhamreSupriya Sule,,2020
Conservation and Authentication of Forest,9/18/2020,Pushpendra Singh Chandel,,2020
Forest Reserves in Bharatpur,9/18/2020,Ranjeeta Koli,,2020
Mass Extinction of Indian Species,9/18/2020,Dibyendu Adhikari,,2020
Malabar Wildlife Sanctuary,9/18/2020,M. K. Raghavan,,2020
Pollution in Misrikh,9/18/2020,Ashok Kumar Rawat,,2020
Air Pollution,9/18/2020,Meenakshi Lekhi,,2020
Government Nominations to NCCF,9/18/2020,Mala Rajya Laxmi Shah,,2020
Global Tiger Day,9/18/2020,Ganesan SelvamC.N. AnnaduraiDhanush M. Kumar,,2020
EPR for Plastic Waste,9/18/2020,Magunta Sreenivasulu ReddyChandra Sekhar BellanaMidhun Reddy,,2020
Most Polluted Cities,9/18/2020,Prataprao Ganpatrao Jadhav,,2020
EIA Notification,9/18/2020,Thalikkottai Rajuthevar Baalu,,2020
Forest Land,9/18/2020,Nihal Chand Chauhan,,2020
Flood due to Deforestation,9/18/2020,Rajiv Pratap Rudy,,2020
Forest Cover,9/18/2020,Gowdar Mallikarjunappa Siddeshwara,,2020
Green India Mission,9/18/2020,Omprakash Bhupalsingh alias Pavan Rajenimbalkar,,2020
Environment Impact Assessment,9/18/2020,V.K. Sreekandan,,2020
Climate Change Treaty,9/18/2020,K. Subbarayan,,2020
Wildlife Act,9/18/2020,Krishnapal Singh Yadav,,2020
Endangered Birds,9/18/2020,Sudheer GuptaBidyut Baran MahatoSanjay Sadashivrao MandlikShrirang Appa Barne,,2020
Forest Rights under new EIA,9/18/2020,Sunil Dattatray Tatkare,,2020
New EIA Notification,9/18/2020,Kanimozhi Karunanidhi,,2020
Amendments in EIA,9/18/2020,T.N. Prathapan,,2020
E-waste,9/18/2020,Girish Bhalchandra Bapat,,2020
Depletion of Bio-diversity,9/18/2020,Anurag Sharma,,2020
Status of Tigers in India Report,9/18/2020,Dushyant Singh,,2020
Man-Animal Conflicts,3/20/2020,Kirit Premjibhai SolankiNaba Kumar Sarania,,2020
Collection of Plastic Waste,3/20/2020,Manoj Kishorbhai Kotak,,2020
Assistance to Jharkhand for Afforestation,3/20/2020,Annpurna DeviPashupati Nath Singh,,2020
Forest Area Covered by Water Bodies,3/20/2020,T.N. Prathapan,,2020
Forest Area in Karnataka,3/20/2020,P.C. Mohan,,2020
Census of Tigers,3/20/2020,Parbhubhai Nagarbhai Vasava,,2020
Eco Sikh Organisation,3/20/2020,Anumula Revanth Reddy,,2020
Environmental Clearance of Projects,3/20/2020,Nama Nageswara RaoPushpendra Singh ChandelRekha Arun VermaShyam Singh YadavSu ThirunavukkarasarVinayak Bhaurao Raut,,2020
"Forest Conservation Act, 1980",3/20/2020,Rajendra AgrawalPinaki MisraSushil Kumar Singh,,2020
Schemes for Environment Protection,3/20/2020,Jyotirmay Singh Mahato,,2020
Endangered Plant,3/20/2020,S. Jagathrakshakan,,2020
Destruction of Crops by Blackbucks,3/20/2020,Bharati Dhirubhai Shiyal,,2020
"Compensatory Afforestation Fund Act, 2016",3/20/2020,Hema MaliniGiridhari YadavPoonamben Hematbhai Maadam,,2020
Conservation of National Parks,3/20/2020,Sangamlal Kadedin GuptaManoj Kumar TiwariNishikant DubeyRavi Kishan Shukla,,2020
Environmental Projects,3/20/2020,Krupal Balaji Tumane,,2020
Alternative to Single-Use Plastic,3/20/2020,Parvesh Sahib SinghJagdambika PalJamyang Tsering NamgyalP.C. Mohan,,2020
Water Sources in Forest Areas,3/20/2020,Pankaj Chowdhary,,2020
Biodiversity Act,3/20/2020,Uday Pratap Singh,,2020
Forest Cover,3/20/2020,Francisco Sardinha,,2020
Global Warming,3/20/2020,Raksha Nikhil Khadse,,2020
Eco Sensitive Zones,3/20/2020,Chandra Prakash JoshiRamdas Chandrabhanji Tadas,,2020
Pollution from Ozone and Black Carbon,3/20/2020,Shyam Singh Yadav,,2020
Effects of Cyclones on Wildlife,3/20/2020,Mahesh Sahoo,,2020
Import of Hazardous Waste,3/20/2020,Hanuman Beniwal,,2020
Illegal Felling of Trees,3/20/2020,Sadashiv Kisan LokhandeRanjeeta KoliShivkumar Chanabasappa Udasi,,2020
Death of Forest Watchers,3/20/2020,Kirron KherMidhun Reddy,,2020
Climate Emergency,3/20/2020,Dibyendu Adhikari,,2020
Single Use Plastic,3/20/2020,Gautam GambhirKotagiri SridharShobha Karandlaje,,2020
Allocation of Funds under CAMPA,3/20/2020,Vijay BaghelAnnasaheb Shankar Jolle,,2020
Continuous Ambient Air Quality Monitoring Stations,3/20/2020,Nihal Chand ChauhanJaskaur MeenaKripanath MallahVeeraswamy Kalanidhi,,2020
Venkatachalam-Kodur Ghat Road Project,3/20/2020,Durga Prasad Rao Balli,,2020
Protection of Gulf of Kutch,3/20/2020,Devusinh Jesingbhai Chauhan,,2020
Environmental Conservation,3/20/2020,Arjunlal Meena,,2020
Funds for Conservation of Tigers,3/20/2020,Ajay Nishad,,2020
Plastic Waste,3/20/2020,Mukesh Rajput,,2020
Forest Cover in NER,3/20/2020,Pradyut Bordoloi,,2020
Pollution from Mining Activities,3/20/2020,Manish Tewari,,2020
Forest Land,3/20/2020,Jasbir Singh Gill,,2020
Impact of Climate Change on Agriculture,3/20/2020,Meenakshi Lekhi,,2020
Cutting of Forest,3/20/2020,Anil Firojiya,,2020
Emission of Greenhouse Gases,3/20/2020,Sanjay Sadashivrao MandlikBalubhau Narayanrao (Alias Suresh) DhanorkarBidyut Baran MahatoGajanan Chandrakant KirtikarKani K. NavasShrirang Appa BarneSudheer Gupta,,2020
Pollution from Stubble Burning,3/20/2020,Veena Devi,,2020
Food Waste,3/20/2020,Anantkumar Hegde,,2020
Environmental Clearance for Irrigation Projects,3/20/2020,Magunta Sreenivasulu ReddyAshok Mahadeorao Nete,,2020
Development of Forest Area,3/20/2020,Dharambir Singh,,2020
Conservation of Wetlands,3/20/2020,Bhola SinghSukanta Majumdar,,2020
Forest Village in Rajasthan,3/20/2020,Vinod Kumar Sonkar,,2020
Illegal Sand Mining in Rivers,3/20/2020,Sunny DeolBehanan Benny,,2020
Air Pollution Due to Coal Mines,3/20/2020,Parbatbhai Savabhai PatelJaswantsinh Sumanbhai BhabhorNaranbhai Kachhadia,,2020
National Forest Policy 1988,3/20/2020,C.N. AnnaduraiT. R. Paarivendhar,,2020
Environmental Clearance for Industries,3/20/2020,K. Shanmuga Sundaram,,2020
Noise Pollution,3/20/2020,Doddaalahalli Kempegowda SureshGopal Chinayya ShettyMitesh Rameshbhai Patel,,2020
Wastage of Water in RO Purifier,3/20/2020,Bhagwanth Khuba,,2020
Air Pollution,3/20/2020,Deepak (Dev) AdhikariA. RajaGurjeet Singh AujlaMitesh Rameshbhai Patel,,2020
Revival of Dried Water Bodies,3/20/2020,Rahul KaswanAnantkumar Hegde,,2020
e-Waste Clinics,3/20/2020,Jaskaur MeenaA. RajaKripanath MallahNihal Chand ChauhanVeeraswamy Kalanidhi,,2020
India-UK Project on Air Pollution,3/20/2020,Geetha Viswanath VangaKotha Prabhakar Reddy,,2020
Wildlife Conservation,3/20/2020,Vishnu Dayal RamFeroze Varun Gandhi,,2020
Effects of Drought on Animals,3/20/2020,Pushpendra Singh Chandel,,2020
Loss due to Climate Change,3/20/2020,Kumbakudi Sudhakaran,,2020
"Forest Conservation Act, 1980",3/20/2020,Sushil Kumar SinghPinaki Misra,,2020
National Green Tribunal,3/20/2020,Riti PathakJugal Kishore Sharma,,2020
CSR Funds for Conservation of Environment,3/20/2020,Gomati Sai,,2020
African Cheetah,3/13/2020,P.C. Gaddigoudar,,2020
Planting of Trees,3/13/2020,Chandrani Murmu,,2020
Deforestation,3/13/2020,Sudhakar Tukaram Shrangare,,2020
Plastic Waste Management Centres,3/13/2020,P.P. Chaudhary,,2020
Elephant Reserves,3/13/2020,Jual Oram,,2020
Desertification,3/13/2020,Nalin Kumar Kateel,,2020
e-Waste,3/13/2020,Alok Kumar Suman,,2020
Alien Species in Riverine Ecosystem,3/13/2020,Durai Murugan Kathir Anand,,2020
Forest Land in Maharashtra,3/13/2020,Sadashiv Kisan LokhandeBharati Pravin Pawar,,2020
Land Degradation Neutrality,3/13/2020,Sumedhanand SaraswatiDevji Patel,,2020
Pollution in Industrial Area of Maharashtra,3/13/2020,Rajendra Dhedya Gavit,,2020
Illegal Cutting of Forests,3/13/2020,Ashok Kumar Rawat,,2020
Beaches under Blue Flag Standards,3/13/2020,Jagdambika Pal,,2020
Compensatory Afforestationby PSUs,3/13/2020,Ramesh Chandra Majhi,,2020
Conservation of Forest,3/13/2020,Ravi Kishan ShuklaManoj Kishorbhai KotakNishikant Dubey,,2020
Impact of Climate Change,3/13/2020,Annasaheb Shankar JolleRaju Bista,,2020
Mangrove Forests,3/13/2020,Rajendra Agrawal,,2020
Encroachment in National Parks,3/13/2020,Saugata Roy,,2020
Forest Area in Chhattisgarh,3/13/2020,Arun Sao,,2020
Encroachment in Forest Areas,3/13/2020,Ramesh Chander KaushikSaikia Dilip,,2020
Relaxation in Forest Rules,3/13/2020,Durga Prasad Rao Balli,,2020
Implementation of National Clean Air Programme,3/13/2020,Indra Hang Subba,,2020
Sundarbans National Park,3/13/2020,Subhas Sarkar,,2020
Solid and Liquid Waste Management Projects,3/13/2020,Bhartruhari Mahtab,,2020
Increase in Number of Tigers,3/13/2020,Pankaj Chowdhary,,2020
Smog Towers,3/13/2020,Gautam GambhirJagdambika Pal,,2020
Marine Species,3/13/2020,Pritam Gopinath MundeChandrashekhar Sahu,,2020
Wetlands,3/13/2020,P.R. Natarajan,,2020
Increase in Sea-Level in Coastal Areas,3/13/2020,C.N. Annadurai,,2020
Pollution Caused by Fashion Industry,3/13/2020,Maneka Sanjay Gandhi,,2020
Forest Land,3/13/2020,Bharat Ram MarganiHarish DwivediNalin Kumar Kateel,,2020
Collection and Processing of Waste,3/13/2020,Nihal Chand ChauhanJaskaur Meena,,2020
Conservation of Lakes,3/13/2020,Arjunlal Meena,,2020
Adverse Effects of Climate Change,3/13/2020,Rakesh Singh,,2020
Environment and Forest Clearance,3/13/2020,Pradyut Bordoloi,,2020
Animals in Wildlife Safaris,3/13/2020,Mohan S. Delkar,,2020
Environmental Coastal Protection Projects,3/13/2020,Umesh G. Jadhav,,2020
Wild Animals Perishing in Forest Fire,3/13/2020,Naranbhai KachhadiaGitaben Vajesingbhai RathvaJaswantsinh Sumanbhai BhabhorParbatbhai Savabhai PatelPradeep Kumar SinghShantanu Thakur,,2020
Forest Area in Gujarat,3/13/2020,Parbhubhai Nagarbhai Vasava,,2020
Forest Cover in Haryana,3/13/2020,Sanjay Bhatia,,2020
Protection of Aravali Forests,3/13/2020,Anumula Revanth Reddy,,2020
Badalkhol Wildlife Sanctuary,3/13/2020,Gomati Sai,,2020
National Action Plan on Climate Change,3/13/2020,Vijay Baghel,,2020
Ban on Reverse Osmosis Purifiers,3/13/2020,Sharda Anilkumar PatelAsaduddin OwaisiSyed Imtiaz Jaleel,,2020
Threat of Rising Sea Level,3/13/2020,Adoor Prakash,,2020
Increase in Temperature,3/13/2020,Suresh Kodikunnil,,2020
Effects of Climate Change,3/13/2020,S. Jothi Mani,,2020
Rejuvenation of Wetlands,3/13/2020,Hema Malini,,2020
Migratory Birds,3/13/2020,Dulal Chandra Goswami,,2020
Endangered Species of Birds and Animals,3/13/2020,Jasbir Singh GillS. Jagathrakshakan,,2020
Single-Use Plastic,3/13/2020,Geetha Viswanath VangaKotha Prabhakar Reddy,,2020
Conservation of Lakes,3/13/2020,V.K. Sreekandan,,2020
Green Clearance for Onshore and Offshore Explorations,3/13/2020,Hibi Eden,,2020
Common Effluent Treatment Plants,3/13/2020,Ramesh Bidhuri,,2020
Pollution by Industries,3/13/2020,Dhairyasheel S. ManeSujay Radhakrishna Vikhepatil,,2020
Environmental Clearances for National Highway 516E,3/13/2020,Raghu Ramakrishna Raju Kanumuru,,2020
Fencing around Forest Areas,3/13/2020,Malook Nagar,,2020
Madhav National Park,3/13/2020,Krishnapal Singh Yadav,,2020
Carbon Emissions,3/13/2020,Veeraswamy KalanidhiAparajita Sarangi,,2020
Migratory Species of Wildlife,3/13/2020,Sanjay Sadashivrao MandlikShrirang Appa Barne,,2020
Impact of Plastic Waste on Animals,3/13/2020,Uday Pratap Singh,,2020
Increase in Forest Cover,3/13/2020,Dushyant SinghAnubhav MohantyJayant Sinha,,2020
Protection of Mangrove Forests,3/13/2020,Kirit Premjibhai Solanki,,2020
Increase in Global Temperature,3/13/2020,Devendrappa YPramod Mahajan,,2020
Pollution from Coal-basedPower Plants,3/13/2020,Arvind Ganpat Sawant,,2020
Rise in Temperature,3/13/2020,Rajiv Pratap Rudy,,2020
Climate Change,3/13/2020,Pushpendra Singh Chandel,,2020
Environmental Clearance for Magnesite Mines,03/06/20,S.R. Parthiban,,2020
Restoration of Degraded Land,03/06/20,P.P. Chaudhary,,2020
Tribal Representation in NGT,03/06/20,Mahabali Singh,,2020
Environmental Clearance for Gas Exploratory Projects,03/06/20,A. GaneshamurthiUttam Kumar Nalamada Reddy,,2020
Promotion of Plantation in Private Sector,03/06/20,Shankar Lalwani,,2020
Shortage of Landfill Sites,03/06/20,Mitesh Rameshbhai Patel,,2020
Van Gram Vikas Yojana,03/06/20,Sunil Baburao Mendhe,,2020
Climate Change,03/06/20,Sudheer GuptaBidyut Baran MahatoGajanan Chandrakant KirtikarSanjay Sadashivrao MandlikShrirang Appa Barne,,2020
Closure of Sterlite Copper Plant,03/06/20,Jyotsna Charandas Mahant,,2020
Snake Park,03/06/20,Gomati Sai,,2020
Protection of Coral Reefs,03/06/20,Subhas Sarkar,,2020
Storage of Solid Waste,03/06/20,Lallu Singh,,2020
Afforestation Scheme,03/06/20,Pradeep Kumar Chaudhary,,2020
Compensatory Afforestation,03/06/20,Kani K. NavasBalubhau Narayanrao (Alias Suresh) Dhanorkar,,2020
Air Pollution,03/06/20,Rakesh SinghAnantkumar HegdeArvind Ganpat SawantBalubhau Narayanrao (Alias Suresh) DhanorkarKani K. NavasKrupal Balaji Tumane,,2020
Environmental Clearance to Construction Companies,03/06/20,Prathap Simha,,2020
Pollution from Vehicles,03/06/20,Y. S. Avinash Reddy,,2020
Violation of Environmental Laws,03/06/20,Parvesh Sahib Singh,,2020
Population of Leopards,03/06/20,Shrirang Appa BarneBidyut Baran MahatoGajanan Chandrakant KirtikarSanjay Sadashivrao MandlikSudheer Gupta,,2020
Snow Leopards,03/06/20,Jasbir Singh Gill,,2020
Bird Sanctuary,03/06/20,Durga Prasad Rao Balli,,2020
Society of Integrated Coastal Management,03/06/20,Shantanu ThakurGitaben Vajesingbhai RathvaJaswantsinh Sumanbhai BhabhorNaranbhai KachhadiaParbatbhai Savabhai PatelPradeep Kumar Singh,,2020
e-Waste,03/06/20,Aparajita Sarangi,,2020
Red Sand Boa Snakes,03/06/20,Reddeppa Nallakonda Gari,,2020
Incidents of Forest Fire,03/06/20,Prataprao Ganpatrao JadhavGopal Chinayya Shetty,,2020
Illegal Mining from Rivers,03/06/20,Nishikant Dubey,,2020
Solid Waste Management,03/06/20,Hema Malini,,2020
Pollution in Mining Areas,03/06/20,Chandrani Murmu,,2020
Death of Children due to Air Pollution,03/06/20,Sri Krishna Devarayalu Lavu,,2020
Destruction of Forest Area,03/06/20,Jual Oram,,2020
